Symbol,Name
REVG,"REV Group, Inc."
M,"Macy's, Inc."
TGTX,"TG Therapeutics, Inc."
GOOGL,Alphabet Inc.
GOOG,Alphabet Inc.
SMR,NuScale Power Corporation
PRKS,United Parks & Resorts Inc.
HMY,Harmony Gold Mining Company Limited
LYFT,"Lyft, Inc."
SBSW,Sibanye Stillwater Limited
HQY,"HealthEquity, Inc."
IONS,"Ionis Pharmaceuticals, Inc."
WDC,Western Digital Corporation
HAFN,Hafnia Limited
CPB,The Campbell's Company
CMBT,Cmb.Tech NV
GENI,Genius Sports Limited
ALKS,Alkermes plc
HIMS,"Hims & Hers Health, Inc."
FRO,Frontline plc
STNG,Scorpio Tankers Inc.
