Symbol,Name
CYTK,"Cytokinetics, Incorporated"
IONS,"Ionis Pharmaceuticals, Inc."
UTHR,United Therapeutics Corporation
ARWR,"Arrowhead Pharmaceuticals, Inc."
OPEN,Opendoor Technologies Inc.
IREN,IREN Limited
SBSW,Sibanye Stillwater Limited
MENS,Jyong Biotech Ltd.
CIFR,Cipher Mining Inc.
JOYY,JOYY Inc.
ONC,BeOne Medicines AG
ULTA,"Ulta Beauty, Inc."
HMY,Harmony Gold Mining Company Limited
SMR,NuScale Power Corporation
CRNX,"Crinetics Pharmaceuticals, Inc."
RARE,Ultragenyx Pharmaceutical Inc.
INSM,Insmed Incorporated
AL,Air Lease Corporation
PTCT,"PTC Therapeutics, Inc."
DOOO,BRP Inc.
ARX,Accelerant Holdings
BIIB,Biogen Inc.
SATS,EchoStar Corporation
ETOR,eToro Group Ltd.
AG,First Majestic Silver Corp.
